party_id,party,symbol
868,TMC(M),Auto- Rickshaw
869,TNLK,Ring
870,TNRMPI,Gas Stove
871,TOP,Stumps
872,TRIPP,Battery torch
873,TSP,Mike
874,TTNP,Tractor Chalata Kisan
875,UBM,FLUTE
876,UDFS,Frying Pan
877,UKDD,Electric Pole
878,UKKD,Chair
879,UPJP,Auto- Rickshaw
880,UPNSE,Gas Cylinder
881,UPPL,Tractor Chalata Kisan
882,USIP,Tiller
883,UTPP,Television
884,UTSAP,Boat with Man and Sail
885,VBA,Cup & Saucer
886,VCSMP,Tiller
887,VIPTY,Air Conditioner
888,VJNP,Ring
889,VMMKT,Key
890,VMSKP,Skipping Rope
891,VPI,Gas Cylinder
892,VPP,Phone Charger
893,VSIP,Boat with Man and Sail
894,WAP,Boat with Man and Sail
895,YJJP,Pendulum
896,YKP,Water Melon
897,YSRPP,Ring
898,YVP,Tractor Chalata Kisan
